,all,new_cnpq_level_1a,new_cnpq_level_2a,new_cnpq_level_3a,predicted_new_cnpq_level_1a,predicted_new_cnpq_level_2a,predicted_new_cnpq_level_3a
158,"Effect of secondary infection on epithelialisation and total healing of cutaneous leishmaniasis lesions BACKGROUND Cutaneous leishmaniasis (CL) generally presents with a single or several localised cutaneous ulcers without involvement of mucous membranes. Ulcerated lesions are susceptible to secondary contamination that may slow the healing process. OBJECTIVE This study verified the influence of non-parasitic wound infection on wound closure (epithelialisation) and total healing. METHODS Twenty-five patients with a confirmed diagnosis of CL and ulcerated lesions underwent biopsy of ulcer borders. One direct microbial parameter (germ identification in cultures) and four indirect clinical parameters (secretion, pain, burning sensation, pruritus) were analysed. FINDINGS Biopsies of ten lesions showed secondary infection by one or two microorganisms (Staphylococcus aureus, Pseudomonas aeruginosa, Enterococcus faecalis, Streptococcus pyogenes and Candida parapsilosis). Secretion and burning sensation influenced epithelialisation time but not total healing time. Positive detection of germs in the ulcer border and pain and pruritus revealed no influence on wound closure. CONCLUSIONS Our borderline proof of clinical CL ulcer infection inhibiting CL wound healing supports the need to follow antimicrobial stewardship in CL ulcer management, which was recently proposed for all chronic wounds. cutaneous leishmaniasis,wound infection,opportunistic infection Memórias do Instituto Oswaldo Cruz",Ciências da Saúde,Medicina,Clínica Médica,Ciências da Saúde,Medicina,Clínica Médica
159,"Prevalence of Obesity in Brazilian Air Force Military Personnel and its Implications for Aerospace Medicine This study aimed to review the main aspects of obesity and its implications for aerospace medicine. The databases of the Aerospace Medicine Center (CEMAL) for 2005 and the Air Force Sports Commission (CDA) for 2008 were searched. It is important to highlight that 53% of the Military Organizations (OM) sent the tests to the CDA. It was found that 45.5% of the individuals evaluated in the Physical Fitness Assessment Test (TACF) were overweight (Body Mass Index – BMI > 25). Of the military airmen examined at CEMAL, 8.1% were obese. The results presented reinforce the importance of regularly performing anthropometric measurements during health inspections and clinical examinations. In conclusion, it was suggested that a weight control program be developed to promote health among FAB military personnel, if relevant changes in BMI and abdominal circumference are identified in the TACF, as well as new studies with larger and multi-year samples. Descriptive Epidemiology; Overweight and Obesity Reta-@ (online)",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências da Saúde,Medicina,Clínica Médica
160,"Crystal structure of Staphylococcus aureus exfoliative toxin D-like protein: Structural basis for the high specificity of exfoliative toxins Exfoliative toxins are serine proteases secreted by Staphylococcus aureus that are associated with toxin-mediated staphylococcal syndromes. To date, four different serotypes of exfoliative toxins have been identified and 3 of them (ETA, ETB, and ETD) are linked to human infection. Among these toxins, only the ETD structure remained unknown, limiting our understanding of the structural determinants for the functional differentiation between these toxins. We recently identified an ETD-like protein associated to S. aureus strains involved in mild mastitis in sheep. The crystal structure of this ETD-like protein was determined at 1.95 Å resolution and the structural analysis provide insights into the oligomerization, stability and specificity and enabled a comprehensive structural comparison with ETA and ETB. Despite the highly conserved molecular architecture, significant differences in the composition of the loops and in both the N- and C-terminal α-helices seem to define ETD-like specificity. Molecular dynamics simulations indicate that these regions defining ET specificity present different degrees of flexibility and may undergo conformational changes upon substrate recognition and binding. DLS and AUC experiments indicated that the ETD-like is monomeric in solution whereas it is present as a dimer in the asymmetric unit indicating that oligomerization is not related to functional differentiation among these toxins. Differential scanning calorimetry and circular dichroism assays demonstrated an endothermic transition centered at 52°C, and an exothermic aggregation in temperatures up to 64°C. All these together provide insights about the mode of action of a toxin often secreted in syndromes that are not associated with either ETA or ETB. © 2015 Elsevier Inc. Crystal structure; Exfoliative toxin D-like protein; Staphylococcus aureus; Toxin-mediated staphylococcal syndromes Biochemical and Biophysical Research Communications",Ciências Biológicas,Bioquímica,Biologia Molecular,Ciências Biológicas,Biofísica,Biofísica de Processos e Sistemas
161,"Persistence of Yellow fever virus outside the Amazon Basin, causing epidemics in Southeast Brazil, from 2016 to 2018 Background Yellow fever (YF) is endemic in the Brazilian Amazon Basin, and sporadic outbreaks take place outside the endemic area in Brazil. Since 2016, YF epidemics have been occurring in Southeast Brazil, with more than 1,900 human cases and more than 1,600 epizooties of non-human primates (NHPs) reported until April 2018. Previous studies have demonstrated that Yellow fever virus (YFV) causing outbreaks in 2017 formed a monophyletic group. Methodology/Principal findings Aiming to decipher the origin of the YFV responsible for the recent epidemics, we obtained nucleotide sequences of YFV detected in humans (n = 6) and NHPs (n = 10) from Minas Gerais state during 2017 +/- 2018. Next, we performed evolutionary analyses and discussed the results in the light of epidemiological records (official numbers of YFV cases at each Brazilian Federative unit, reported by the Brazilian Ministry of Health). Nucleotide sequences of YFV from Southeast Brazil from 2016 to 2018 were highly conserved and formed a monophyletic lineage (BR-YFV_2016/18) within the genotype South America I. Different clusters were observed within lineage BR-YFV_2016/18, one containing the majority of isolates (from humans and NHPs), indicating the sylvatic transmission of YFV. We also detected a cluster characterized by two synapomorphies (amino acid substitutions) that contained YFV only associated with NHP what should be further investigated. The topology of lineage BRYFV_2016/18 was congruent with epidemiological and temporal patterns of the ongoing epidemic. YFV isolates detected in 2016, in Sao Paulo state were located in the most basal position of the lineage, followed by the isolates from Minas Gerais and Esp oA rito Santo obtained in 2017 and 2018. The most recent common ancestor of the lineage BRYFV_2016/18 dated to 2015 (95% credible intervals = 2014 +/- 2016), in a period that was coincident with the reemergence of YFV in the Midwest region of Brazil. Conclusions The results demonstrated a single introduction of YFV in the Southeast region and the silent viral circulation before the onset of the outbreaks in 2016. Evolutionary analyses combined with epidemiological records supported the idea that BR- YFV_2016/18 was probably introduced from the Midwest into the Southeast region, possibly in Sao Paulo state. The persistence of YFV in the Southeast region, causing epidemics from 2016 to 2018, suggests that this region presents suitable ecological and climatic conditions for YFV maintenance during the epidemic and interepidemic seasons. This fact poses risks for the establishing of YF enzootic cycles and epidemics, outside the Amazon Basin in Brazil. YF surveillance and studies of viral dynamics deserve particular attention, especially in Midwest, Southeast and neighbor regions which are the main areas historically associated with YF outbreaks outside the Amazon Basin. YFV persistence in Southeast Brazil should be carefully considered in the context of public health, especially for public health decision-makers and researchers.; BackgroundYellow fever (YF) is endemic in the Brazilian Amazon Basin, and sporadic outbreaks take place outside the endemic area in Brazil. Since 2016, YF epidemics have been occurring in Southeast Brazil, with more than 1,900 human cases and more than 1,600 epizooties of non-human primates (NHPs) reported until April 2018. Previous studies have demonstrated that Yellow fever virus (YFV) causing outbreaks in 2017 formed a monophyletic group.Methodology/Principal findingsAiming to decipher the origin of the YFV responsible for the recent epidemics, we obtained nucleotide sequences of YFV detected in humans (n = 6) and NHPs (n = 10) from Minas Gerais state during 2017 +/- 2018. Next, we performed evolutionary analyses and discussed the results in the light of epidemiological records (official numbers of YFV cases at each Brazilian Federative unit, reported by the Brazilian Ministry of Health). Nucleotide sequences of YFV from Southeast Brazil from 2016 to 2018 were highly conserved and formed a monophyletic lineage (BR-YFV_2016/18) within the genotype South America I. Different clusters were observed within lineage BR-YFV_2016/18, one containing the majority of isolates (from humans and NHPs), indicating the sylvatic transmission of YFV. We also detected a cluster characterized by two synapomorphies (amino acid substitutions) that contained YFV only associated with NHP what should be further investigated. The topology of lineage BRYFV_2016/18 was congruent with epidemiological and temporal patterns of the ongoing epidemic. YFV isolates detected in 2016, in Sao Paulo state were located in the most basal position of the lineage, followed by the isolates from Minas Gerais and Esp oA rito Santo obtained in 2017 and 2018. The most recent common ancestor of the lineage BRYFV_2016/18 dated to 2015 (95%credible intervals = 2014 +/- 2016), in a period that was coincident with the reemergence of YFV in the Midwest region of Brazil.ConclusionsThe results demonstrated a single introduction of YFV in the Southeast region and the silent viral circulation before the onset of the outbreaks in 2016. Evolutionary analyses combined with epidemiological records supported the idea that BR- YFV_2016/18 was probably introduced from the Midwest into the Southeast region, possibly in Sao Paulo state. The persistence of YFV in the Southeast region, causing epidemics from 2016 to 2018, suggests that this region presents suitable ecological and climatic conditions for YFV maintenance during the epidemic and interepidemic seasons. This fact poses risks for the establishing of YF enzootic cycles and epidemics, outside the Amazon Basin in Brazil. YF surveillance and studies of viral dynamics deserve particular attention, especially in Midwest, Southeast and neighbor regions which are the main areas historically associated with YF outbreaks outside the Amazon Basin. YFV persistence in Southeast Brazil should be carefully considered in the context of public health, especially for public health decision-makers and researchers. NÃO INFORMADO PLOS NEGLECTED TROPICAL DISEASES",Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos,Ciências da Saúde,Medicina,Clínica Médica
162,"Risk factors associated with dizziness during treatment of mucosal leishmaniasis with meglumine antimoniate: 16-year retrospective study of cases from Rio de Janeiro, Brazil Objective: To evaluate dizziness in patients receiving meglumine antimoniate for the treatment of mucosal leishmaniasis. Materials and methods. We retrospectively studied 127 patients treated at the Laboratory of Leishmaniasis Surveillance, Evandro Chagas Clinical Research Institute, Oswaldo Cruz Foundation, Rio de Janeiro, Brazil. between 1 January 1989 and 31 December 2004 Results: A low dose of meglumine antimoniate (5 mg/kg/day) was used in 86 6 per cent of patients; a dose of 10 mg/kg/day or higher was used in 13.4 per cent of patients. Dizziness was reported by 4.7 per cent of patients The adjusted odds ratios were 7.37 for dizziness in female patients, 4.9 for dizziness in patients aged 60 years or older, and 7.77 for dizziness in the presence of elevated serum lipase. Conclusion. We suggest that dizziness may be a side effect of meglumine antimoniate, particularly in elderly individuals, in females and in patients with elevated scrum lipase. Leishmaniasis,Meglumine Antimoniate,Dizziness,Ototoxicity JOURNAL OF LARYNGOLOGY AND OTOLOGY",Ciências da Saúde,Medicina,Clínica Médica,Ciências da Saúde,Medicina,Clínica Médica
163,"Adequacy of prenatal dental care: Social and geographical inequalities in a metropolitan region of brazil; The objective was to analyze social and geographic inequalities in the adequacy of prenatal dental care in the Unified Health System (SUS) of the metropolitan region of Greater Vitória, Espírito Santo, Brazil. A cross-sectional study was carried out with 1,209 postpartum women residing in the region, admitted to the SUS for childbirth in 2010 and 2011. Data were collected on prenatal medical-dental care, the impact of oral health on quality of life (Oral Health Impact Profile-14), and contextual, predisposing, and enabling characteristics. Prenatal dental care was adequate when the care provided corresponded to the recommended treatment. The likelihood of adequate prenatal dental care was analyzed using a multivariate logistic model. It was found that oral health impacted the quality of life of 102 (8.4%) pregnant women and the adequacy of prenatal dental care was only 15.4% (n=156). There was a greater likelihood of adequate prenatal dental care in Vitória (OR=2.44; CI=1.63-3.66), in the presence of the Family Health Strategy (OR=1.88; CI=1.22-2.89) and quality prenatal care (OR=3.59; CI=1.64-7.84). Contextual inequalities were determinants for inadequate prenatal dental care. Dental care; Equity in access; Pregnant women; Prenatal care; Quality of health care",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências da Saúde,Odontologia,Odontologia Social e Preventiva
164,"Unbalanced networks and disturbed kinetics of serum soluble mediators associated with distinct disease outcomes in severe COVID-19 patients The present study applied distinct models of descriptive analysis to explore the integrative networks and the kinetic timeline of serum soluble mediators to select a set of systemic biomarkers applicable for the clinical management of COVID-19 patients. For this purpose, a total of 246 participants (82 COVID-19 and 164 healthy controls - HC) were enrolled in a prospective observational study. Serum soluble mediators were quantified by high-throughput microbeads array on hospital admission (D0) and at consecutive timepoints (D1-6 and D7-20). The results reinforce that the COVID-19 group exhibited a massive storm of serum soluble mediators. While increased levels of CCL3 and G-CSF were associated with the favorable prognosis of non-mechanical ventilation (nMV) or discharge, high levels of CXCL10 and IL-6 were observed in patients progressing to mechanical ventilation (MV) or death. At the time of admission, COVID-19 patients presented a complex and robust serum soluble mediator network, with a higher number of strong correlations involving IFN-γ, IL-1Ra and IL-9 observed in patients progressing to MV or death. Multivariate regression analysis demonstrates the ability of serum soluble mediators to cluster COVID-19 from HC. Ascendant fold change signatures and the kinetic timeline analysis further confirmed that the pairs CCL3 and G-CSF and CXCL10 and IL-6 were associated with favorable or poor prognosis, respectively. A selected set of systemic mediators (IL-6, IFN-γ, IL-1Ra, IL-13, PDGF and IL-7) were identified as putative laboratory markers, applicable as complementary records for the clinical management of patients with severe COVID-19.; The present study applied distinct models of descriptive analysis to explore theintegrative networks and the kinetic timeline of serum soluble mediators toselect a set of systemic biomarkers applicable for the clinical management ofCOVID-19 patients. For this purpose, a total of 246 participants (82 COVID-19 and164 healthy controls - HC) were enrolled in a prospective observational study.Serum soluble mediators were quantified by high-throughput microbeads array onhospital admission (D0) and at consecutive timepoints (D1-6 and D7-20). Theresults reinforce that the COVID-19 group exhibited a massive storm of serumsoluble mediators. While increased levels of CCL3 and G-CSF were associated withthe favorable prognosis of non-mechanical ventilation (nMV) or discharge, highlevels of CXCL10 and IL-6 were observed in patients progressing to mechanicalventilation (MV) or death. At the time of admission, COVID-19 patients presenteda complex and robust serum soluble mediator network, with a higher number ofstrong correlations involving IFN-γ, IL-1Ra and IL-9 observed in patientsprogressing to MV or death. Multivariate regression analysis demonstrates theability of serum soluble mediators to cluster COVID-19 from HC. Ascendant foldchange signatures and the kinetic timeline analysis further confirmed that thepairs CCL3 and G-CSF and CXCL10 and IL-6 were associated with favorable orpoor prognosis, respectively. A selected set of systemic mediators (IL-6, IFN-γ,IL-1Ra, IL-13, PDGF and IL-7) were identified as putative laboratory markers,applicable as complementary records for the clinical management of patients withsevere COVID-19. COVID-19BIOMARKERSCHEMOKINESCYTOKINESIMMUNE RESPONSEKINETICSSERUM SOLUBLE MEDIATORS. FRONTIERS IN IMMUNOLOGY",Ciências da Saúde,Medicina,Clínica Médica,Ciências da Saúde,Medicina,Clínica Médica
165,"A large-scale mutation search reveals genetic heterogeneity in 3M syndrome The 3M syndrome is a rare autosomal recessive disorder recently ascribed to mutations in the CUL7 gene and characterized by severe pre- and postnatal growth retardation. Studying a series of 33 novel cases of 3M syndrome, we have identified deleterious CUL7 mutations in 23/33 patients, including 19 novel mutations and one paternal isodisomy of chromosome 6 encompassing a CUL7 mutation. Lack of mutations in 10/33 cases and exclusion of the CUL7 locus on chromosome 6p21.1 in six consanguineous families strongly support the genetic heterogeneity of the 3M syndrome. CUL7,paternal isodisomy of chromosome 6,genetic heterogeneity of 3M syndrome European Journal of Human Genetics",Ciências da Saúde,Medicina,Saúde Materno-Infantil,Ciências Biológicas,Genética,Genética Humana e Médica
166,"Factors Associated with Salt Consumption in the Brazilian Adult Population: National Health Survey The objective of this article is to identify the factors associated with high salt consumption in the Brazilian adult population. This is a cross-sectional study with data from 8,083 adults from the National Health Survey (PNS, 2014/15). Salt consumption was based on the estimated 24-hour urinary sodium excretion, calculated by the sodium/creatinine ratio in a casual urine sample. The highest quartile of the distribution was considered high consumption. The relationship between high salt consumption and sociodemographic factors, lifestyle, morbidity, and self-rated health status was analyzed by calculating the crude prevalence ratios and those adjusted for age and sex. 28.1% had an estimated salt consumption greater than 10.56 g/day. The presence of overweight (adjusted prevalence ratio; 95%CI - RPaj 1.23; 1.09-1.39), obesity (RPaj 1.61; 1.43-1.83) and diabetes (RPaj 1.36; 1.17-1.58) were positively associated with high salt intake. The following were protective factors: female gender (RPaj 0.73; 0.66-0.80), high level of education (RPaj 0.88; 0.79-0.99), living in the North region and presence of chronic kidney disease (RPaj 0.71; 0.56-0.90). Salt consumption is high throughout the country and in all population subgroups, demanding coordinated actions to address it. Dietary Sodium; Eating Behavior; Epidemiological Surveys; Urine Science & Public Health",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências da Saúde,Saúde Coletiva,Epidemiologia
167,"Protective immunity against challenge with Leishmania (Leishmania) chagasi in beagle dogs vaccinated with recombinant A2 protein In this study, we investigated in dogs the immunogenicity and protective immunity against Leishmania (Leishmania) chagasi infection induced by vaccination with a formulation containing the recombinant A2 protein, an amastigote specific antigen, and saponin. Vaccinated animals produced significantly increased levels of total IgG and IgG2, but not lgG1 anti-A2 antibodies, and remained negative in conventional leishmaniasis serodiagnostic methods. Significantly increased IFN-gamma and low IL-10 levels were detected in vaccinated animals before and after challenge, as compared to control animals. Importantly, while the symptoms onset appeared as early as three months after infection in most control dogs, 14 months after challenge, 5 out of 7 vaccinated dogs remained asymptomatic. Therefore, immunization with rA2 antigen was immunogenic and induced partial protection in dogs, and allowed the serological differentiation between vaccinated and infected animals, an important requirement for a canine visceral leishmaniasis (CVL) vaccine. (C) 2008 Elsevier Ltd. All rights reserved; In this study, we investigated in dogs the immunogenicity and protective immunity against Leishmania (Leishmania) chagasi infection induced by vaccination with a formulation containing the recombinant A2 protein, an amastigote specific antigen, and saponin. Vaccinated animals produced significantly increased levels of total IgG and IgG2, but not lgG1 anti-A2 antibodies, and remained negative in conventional leishmaniasis serodiagnostic methods. Significantly increased IFN-gamma and low IL-10 levels were detected in vaccinated animals before and after challenge, as compared to control animals. Importantly, while the symptoms onset appeared as early as three months after infection in most control dogs, 14 months after challenge, 5 out of 7 vaccinated dogs remained asymptomatic. Therefore, immunization with rA2 antigen was immunogenic and induced partial protection in dogs, and allowed the serological differentiation between vaccinated and infected animals, an important requirement for a canine visceral leishmaniasis (CVL) vaccine. (C) 2008 Elsevier Ltd. All rights reserved. CANINE VISCERAL LEISHMANIASISRECOMBINANT VACCINEA2 ANTIGEN; Canine visceral leishmaniasis,Recombinant vaccine,A2 antigen VACCINE",Ciências Biológicas,Parasitologia,Protozoologia de Parasitos,Ciências Biológicas,Imunologia,Imunogenética
168,"Selection and quantification of infection endpoints for trials of vaccines against intestinal helminths Vaccines against human helminths are being developed but the choice of optimal parasitological endpoints and effect measures to assess their efficacy has received little attention. Assuming negative binomial distributions for the parasite counts, we rank the statistical power of three measures of efficacy: ratio of mean parasite intensity at the end of the trial, the odds ratio of infection at the end of the trial, and the rate ratio of incidence of infection during the trial. We also use a modelling approach to estimate the likely impact of trial interventions on the force of infection, and hence statistical power. We conclude that (1) final mean parasite intensity is a suitable endpoint for later phase vaccine trials, and (2) mass effects of trial interventions are unlikely to appreciably reduce the force of infection in the community - and hence statistical power - unless there is a combination of high vaccine efficacy and a large proportion of the population enrolled. (C) 2011 Elsevier Ltd. All rights reserved; Vaccines against human helminths are being developed but the choice of optimal parasitological endpoints and effect measures to assess their efficacy has received little attention. Assuming negative binomial distributions for the parasite counts, we rank the statistical power of three measures of efficacy: ratio of mean parasite intensity at the end of the trial, the odds ratio of infection at the end of the trial, and the rate ratio of incidence of infection during the trial. We also use a modelling approach to estimate the likely impact of trial interventions on the force of infection, and hence statistical power. We conclude that (1) final mean parasite intensity is a suitable endpoint for later phase vaccine trials, and (2) mass effects of trial interventions are unlikely to appreciably reduce the force of infection in the community - and hence statistical power - unless there is a combination of high vaccine efficacy and a large proportion of the population enrolled. (C) 2011 Elsevier Ltd. All rights reserved. HELMINTH VACCINESPARASITOLOGICAL ENDPOINTSMATHEMATICAL MODEL; Helminth vaccines,Parasitological endpoints,Mathematical model VACCINE",Ciências Biológicas,Parasitologia,Helmintologia de Parasitos,Ciências da Saúde,Medicina,Clínica Médica
169,"Recombinant micro-exon gene 3 (MEG-3) antigens from Schistosoma mansoni failed to induce protection against infection but show potential for serological diagnosis Sequence databases on Schistosoma mansoni have revealed micro-exon gene (MEGs) families. Many of these genes are highly expressed in parasite life cycle stages associated with the mammalian host infection and appear to be involved in immune evasion by schistosomes. So, we believe that MEG-coding proteins would make potential candidates for vaccine development or diagnosis for schistosomiasis. Here, we study MEG-3.2 and MEG-3.4, members of the MEG-3 family. Recombinant (r) proteins were produced and formulated with Freund's adjuvant for vaccination of mice. Immunization with recombinant MEG-3.2 or MEG-3.4 formulation generated high levels of IgG1 antibodies. Additionally, vaccination also induced a mixed Th1/Th2/Th17-type of response, since IFN-gamma, IL-5 and IL-17 cytokines were detected in the supernatant of spleen cell cultures; however it failed to induce reduction in parasitic worm burden. Finally, the recombinant proteins were evaluated in a serological assay using human samples. Schistosome-infected individuals showed higher levels of both IgG and IgM against rMEG-3.2 compared to non-infected individuals, while only IgM anti-rMEG-3.4 antibodies were elevated in infected patients. Therefore, between both studied molecules, MEG-3.2 protein is the antigen that shows potential to compose a serological diagnosis test for schistosomiasis. SCHISTOSOMIASISVACCINEMEGDIAGNOSIS; Schistosomiasis,Vaccine,MEG,Diagnosis ACTA TROPICA",Ciências Biológicas,Parasitologia,Helmintologia de Parasitos,Ciências Biológicas,Parasitologia,Helmintologia de Parasitos
170,"Actinic cheilitis: a study of 35 cases with emphasis on morphological aspects Actinic cheilitis (AK) is a chronic, premalignant alteration resulting from frequent and prolonged sun exposure. It mainly affects the lower lip of elderly, male individuals with light hair. Knowing that AK is influenced by solar radiation and that to our knowledge there are no clinical and histological data on this lesion in the Northeast of Brazil, the present study analyzed a series of 35 cases of AK in the population of this Brazilian region. The slides corresponding to each case were stained with hematoxylin and eosin (HE) and analyzed by light microscopy, and the morphological aspects of the lesions were described. Clinical data were obtained from the request forms for the anatomopathological examination. Of the 35 cases in our sample, 60 percent were male. The mean age was 54.6 years. Most patients were leucoderma. The AK lesions were characterized by stratified squamous epithelium exhibiting variable degrees of keratinization. Solar elastosis was present in all cases. Regarding the degree of dysplasia, 17 cases presented mild dysplasia, 13 had moderate dysplasia, and 5 had severe dysplasia. Although the cases in this study presented epithelial dysplasia, these were not severe enough to generate an invasive neoplasia. However, it is important that studies of this nature be carried out in other regions of the country so that public policies can be established to prevent the appearance and malignancy of these lesions. Humans, Male, Female, Middle-aged person, Squamous cell carcinoma, Cheilitis, Cheilitis/rehabilitation, Cheilitis/therapy RPG rev. post-grad",Ciências da Saúde,Medicina,Anatomia Patológica e Patologia Clínica,Ciências da Saúde,Odontologia,Clínica Odontológica
171,"Infrastructure is a necessary but insufficient condition to eliminate inequalities in access to water: Research of a rural community intervention in Northeast Brazil Given the importance of reducing diverse forms of inequality in access to water, highlighted both in the framework of the Human Right to Water (HRW) and in the Sustainable Development Goals (SDG), this work assesses conditions of access to water and related inequalities before and after the construction of a Water Supply System (WSS) in a rural community of Brazil's semi-arid region. A quasi-experimental study was performed to assess the conditions of access to water for study and control groups (amounting to 380 households). The methodology encompassed two phases, one prior and another subsequent to the construction of a WSS in the study community. The analytical framework of the HRW was applied, specifically the normative content regarding quality, accessibility and availability. The case study's findings help to evidence the limitations and challenges of merely infrastructure-related measures to improve access to water. The construction of a new WSS in the studied community was an improvement as it provided water of good quality to the beneficiary households, which entailed a decreased or even a no-longer-existing need to collect water for children and adolescents. However, certain problems persisted, such as the continued practice of collecting water and the use, by certain families, of water that was fecally contaminated. In a different perspective, the WSS made it possible to increase the per capita volume of water consumed by families and to reduce inequalities associated with this aspect. Meanwhile, the research reveals the possible limits of the WSS in ensuring that higher volumes of water will be consumed per capita, especially among households without intra-household water distribution infrastructure.; Given the importance of reducing diverse forms of inequality in access to water, highlighted both in the framework of the Human Right to Water (HRW) and in the Sustainable Development Goals (SDG), this work assesses conditions of access to water and related inequalities before and after the construction of a Water Supply System (WSS) in a rural community of Brazil's semi-arid region. A quasi-experimental study was performed to assess the conditions of access to water for study and control groups (amounting to 380 households). The methodology encompassed two phases, one prior and another subsequent to the construction of a WSS in the study community. The analytical framework of the HRW was applied, specifically the normative content regarding quality, accessibility and availability. The case study's findings help to evidence the limitations and challenges of merely infrastructure-related measures to improve access to water. The construction of a new WSS in the studied community was an improvement as it provided water of good quality to the beneficiary households, which entailed a decreased or even a no-longer-existing need to collect water for children and adolescents. However, certain problems persisted, such as the continued practice of collecting water and the use, by certain families, of water that was fecally contaminated. In a different perspective, the WSS made it possible to increase the per capita volume of water consumed by families and to reduce inequalities associated with this aspect. Meanwhile, the research reveals the possible limits of the WSS in ensuring that higher volumes of water will be consumed per capita, especially among households without intra-household water distribution infrastructure. (C) 2018 Elsevier B.V. All rights reserved. INEQUALITIESHUMAN RIGHT TO WATERWATER SUPPLYRURALINTERVENTION; Inequalities,Human right to water,Water supply,Rural,Intervention SCIENCE OF THE TOTAL ENVIRONMENT; The Science of the total environment",Ciências Humanas,Ciência Política,Políticas Públicas,Ciências Sociais Aplicadas,Serviço Social,Serviço Social Aplicado
172,"Birth cohort differences in hypertension control in a Brazilian population of older elderly: the Bambui Cohort Study of Aging (1997 and 2008) We examined for cohort differences in hypertension control between participants in the Bambui Cohort Study of Aging of aging born 1916-1926 and 1927-1937. Participants included hypertensive elderly aged 71-81 at baseline (n = 313) and at 11th wave follow up (n = 484). Prevalence of hypertension awareness (70.9% and 81.2%, respectively), median medical appointments in previous 12 months (2 and 3, respectively) and antihypertensive drug use (74.4% and 90.7% respectively) increased significantly from older to younger cohort. However prevalence of appropriately controlled hypertension among those treated. (< 140/< 90mmHg) was similar in both cohorts (44.6% and 40.1%, p = 0.255). Multivariate analysis returned schooling as the only factor independently associated with appropriately controlled hypertension. Despite increased medical appointments and drug use in the recent cohort, the prevalence of appropriately controlled hypertension remained as low as in the older cohort; We examined for cohort differences in hypertension control between participants in the Bambui Cohort Study of Aging of aging born 1916-1926 and 1927-1937. Participants included hypertensive elderly aged 71-81 at baseline (n = 313) and at 11th wave follow up (n = 484). Prevalence of hypertension awareness (70.9% and 81.2%, respectively), median medical appointments in previous 12 months (2 and 3, respectively) and antihypertensive drug use (74.4% and 90.7% respectively) increased significantly from older to younger cohort. However prevalence of appropriately controlled hypertension among those treated. (< 140/< 90mmHg) was similar in both cohorts (44.6% and 40.1%, p = 0.255). Multivariate analysis returned schooling as the only factor independently associated with appropriately controlled hypertension. Despite increased medical appointments and drug use in the recent cohort, the prevalence of appropriately controlled hypertension remained as low as in the older cohort. HYPERTENSIONAGEDCOHORT STUDIES; Hypertension,Aged,Cohort Studies CADERNOS DE SAUDE PUBLICA; Cadernos de Saúde Pública",Ciências da Saúde,Saúde Coletiva,Epidemiologia,Ciências da Saúde,Saúde Coletiva,Epidemiologia
173,"Avaliação da aprendizagem sobre saúde, em visita ao Museu da Vida Museums offer visitors both play and interactive activities that allow for learning. Yet it is challenging to understand learning in this context. How does it actually influence the learning process? This article stems from research on how a visit to a science museum may contribute to shaping the health concepts held by young people. The results identify the context of the museum as an environment favorable to meaningful learning and how meanings are grasped from the content explored during activities. Another important aspect of learning for these young people was the exploration of topics like the history of health, the relation between health and environment, science as a human product, and the role of the scientist within society. education at museums,meaningful learning,history of health,health and environment,science and society História, Ciência, Saúde - Manguinhos",Ciências Sociais Aplicadas,Museologia,,Ciências Humanas,Educação,Planejamento e Avaliação Educacional
174,"A case of sporotrichosis caused by different Sporothrix brasiliensis strains: mycological, molecular, and virulence analyses BACKGROUND Sporotrichosis is a subcutaneous mycosis caused by dimorphic pathogenic fungi belonging to the Sporothrix genus. Pathogenic Sporothrix species typically produce melanin, which is known to be a virulence factor. OBJECTIVES The aim of this study was to perform phenotypic, genotypic, and virulence analyses of two distinct Sporothrix brasiliensis strains isolated from the same lesion on a patient from Rio de Janeiro. METHODS AND FINDINGS Genotypic analyses by partial sequencing of the calmodulin, beta-tubulin, and chitin synthase genes, as well as polymerase chain reaction (PCR)-fingerprinting by T3B, M13, and GACA, showed that the isolates were very similar but not identical. Both isolates had similar phenotypic characteristics and effectively produced melanin in their yeast forms, accounting for their ability of causing disease in a murine sporotrichosis model. Remarkably, isolate B was albino in its environmental form but caused more severe disease than the pigmented A isolate. CONCLUSIONS These findings indicate that the patient was infected by two genetically and biologically distinct S. brasiliensis that vary in their production of melanin in their environmental forms. The results underscore the importance of characterizing phenotypically different isolates found in the same clinical specimen or patient. Sporothrix,genotypic analyses,PCR fingerprint,experimental murine model,virulence Memórias do Instituto Oswaldo Cruz",Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos,Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos
